object,category,type,path,m_score,recogntion
frying pan,kitchen_items,nonliving,thesis_stim/frying_pan_exemplar1.jpg,0.574074,old
mitten,clothing,nonliving,thesis_stim/mitten_exemplar1.jpg,0.285714,old
bunkbed,furniture,nonliving,thesis_stim/bunkbed_exemplar1.jpg,0.696429,old
fishtank,furniture,nonliving,thesis_stim/fishtank_exemplar1.jpg,0.82,old
sheep,mammal,living,thesis_stim/sheep_exemplar1.jpg,0.755556,old
lamborghini,vehicle,nonliving,thesis_stim/lamborghini_exemplar1.jpg,0.32,old
tarantula,insect,living,thesis_stim/tarantula_exemplar1.jpg,0.553191,old
pencil,household_items,nonliving,thesis_stim/pencil_exemplar1.jpg,0.777778,new
merry-go-round,building,nonliving,thesis_stim/merry-go-round_exemplar1.jpg,0.938776,old
banjo,music_inst,nonliving,thesis_stim/banjo_exemplar1.jpg,0.241379,old
dragon statue,decor,nonliving,thesis_stim/dragon_statue_exemplar1.jpg,0.551724,old
aqueduct,building,nonliving,thesis_stim/aqueduct_exemplar1.jpg,0.54,old
toy basket,toys,nonliving,thesis_stim/toy_basket_exemplar1.jpg,0.469388,old
flask,kitchen_items,nonliving,thesis_stim/flask_exemplar1.jpg,0.6,new
ATM,street_items,nonliving,thesis_stim/atm_exemplar1.jpg,0.577778,new
diploma,office_supplies,nonliving,thesis_stim/diploma_exemplar1.jpg,0.423077,old
hanger,household_items,nonliving,thesis_stim/hanger_exemplar1.jpg,0.428571,old
water gun,toys,nonliving,thesis_stim/water_gun_exemplar1.jpg,0.571429,old
toy soldier,toys,nonliving,thesis_stim/toy_soldier_exemplar1.jpg,0.672727,old
musical keyboard,music_inst,nonliving,thesis_stim/musical_keyboard_exemplar1.jpg,0.563636,old
