object,category,type,path,m_score,recognition
cellphone,electronics,nonliving,thesis_stim/cellphone_exemplar1.jpg,0.613636,old
biplane,vehicle,nonliving,thesis_stim/biplane_exemplar1.jpg,0.46,old
diploma,office_supplies,nonliving,thesis_stim/diploma_exemplar1.jpg,0.423077,old
ray,sea,living,thesis_stim/ray_exemplar1.jpg,0.821429,old
surfboard,sports,nonliving,thesis_stim/surfboard_exemplar1.jpg,0.530612,old
jet-ski,vehicle,nonliving,thesis_stim/jet-ski_exemplar1.jpg,0.310345,old
hollywood star,decor,nonliving,thesis_stim/hollywood_star_exemplar1.jpg,0.591837,old
tray,kitchen_items,nonliving,thesis_stim/tray_exemplar1.jpg,0.4,old
tambourine,music_inst,nonliving,thesis_stim/tambourine_exemplar1.jpg,0.64,old
french press,kitchen_items,nonliving,thesis_stim/french_press_exemplar1.jpg,0.68,old
minivan,vehicle,nonliving,thesis_stim/minivan_exemplar1.jpg,0.18,old
water gun,toys,nonliving,thesis_stim/water_gun_exemplar1.jpg,0.571429,old
flute,music_inst,nonliving,thesis_stim/flute_exemplar1.jpg,0.5,old
treasure chest,decor,nonliving,thesis_stim/treasure_chest_exemplar1.jpg,0.45614,old
dolphin,sea,living,thesis_stim/dolphin_exemplar1.jpg,0.795918,old
fountain,street_items,nonliving,thesis_stim/fountain_exemplar1.jpg,0.618182,old
water fountain,street_items,nonliving,thesis_stim/water_fountain_exemplar1.jpg,0.571429,old
rock-climbing shoe,clothing,nonliving,thesis_stim/rock-climbing_shoe_exemplar1.jpg,0.371429,old
hockey mask,sports,nonliving,thesis_stim/hockey_mask_exemplar1.jpg,0.7,old
wagon wheel,vehicle,nonliving,thesis_stim/wagon_wheel_exemplar1.jpg,0.4,old
ski mask,clothing,nonliving,thesis_stim/ski_mask_exemplar1.jpg,0.77551,old
headphone,electronics,nonliving,thesis_stim/headphone_exemplar1.jpg,0.535714,old
dollhouse,toys,nonliving,thesis_stim/dollhouse_exemplar1.jpg,0.285714,old
boot,clothing,nonliving,thesis_stim/boot_exemplar1.jpg,0.47619,old
measuring tape,tools,nonliving,thesis_stim/measuring_tape_exemplar1.jpg,0.344828,old
skirt,clothing,nonliving,thesis_stim/skirt_exemplar1.jpg,0.454545,old
hand mirror,household_items,nonliving,thesis_stim/hand_mirror_exemplar1.jpg,0.416667,old
lock,tools,nonliving,thesis_stim/lock_exemplar1.jpg,0.37931,old
earthworm,insect,living,thesis_stim/earthworm_exemplar1.jpg,0.655172,old
ashtray,furniture,nonliving,thesis_stim/ashtray_exemplar1.jpg,0.76,old
car,vehicle,nonliving,thesis_stim/car_exemplar1.jpg,0.34,old
dress,clothing,nonliving,thesis_stim/dress_exemplar1.jpg,0.387755,old
lip phone,decor,nonliving,thesis_stim/lip_phone_exemplar1.jpg,0.791667,old
moth,insect,living,thesis_stim/moth_exemplar1.jpg,0.86,old
shark,sea,living,thesis_stim/shark_exemplar1.jpg,0.758621,old
spotlight,furniture,nonliving,thesis_stim/spotlight_exemplar1.jpg,0.350877,old
ferris wheel,building,nonliving,thesis_stim/ferris_wheel_exemplar1.jpg,0.482759,old
aqueduct,building,nonliving,thesis_stim/aqueduct_exemplar1.jpg,0.54,old
basketball,sports,nonliving,thesis_stim/basketball_exemplar1.jpg,0.527273,old
pyramid,building,nonliving,thesis_stim/pyramid_exemplar1.jpg,0.485714,old
rainboot,clothing,nonliving,thesis_stim/rainboot_exemplar1.jpg,0.321429,old
wooden fence,street_items,nonliving,thesis_stim/wooden_fence_exemplar1.jpg,0.36,old
ant,insect,living,thesis_stim/ant_exemplar1.jpg,0.772727,old
circuit board,electronics,nonliving,thesis_stim/circuit_board_exemplar1.jpg,0.611111,old
polaroid,electronics,nonliving,thesis_stim/polaroid_exemplar1.jpg,0.407407,old
silo,building,nonliving,thesis_stim/silo_exemplar1.jpg,0.52,old
scooter,vehicle,nonliving,thesis_stim/scooter_exemplar1.jpg,0.177778,old
baseball bat,sports,nonliving,thesis_stim/baseball_bat_exemplar1.jpg,0.607143,old
ostrich,birds,living,thesis_stim/ostrich_exemplar1.jpg,0.842105,old
trash bin,street_items,nonliving,thesis_stim/trash_bin_exemplar1.jpg,0.42,old
salmon,sea,living,thesis_stim/salmon_exemplar1.jpg,0.533333,old
shrimp,sea,living,thesis_stim/shrimp_exemplar1.jpg,0.890909,old
boxing gloves,sports,nonliving,thesis_stim/boxing_gloves_exemplar1.jpg,0.795918,old
yarn,tools,nonliving,thesis_stim/yarn_exemplar1.jpg,0.561404,old
camcorder,electronics,nonliving,thesis_stim/camcorder_exemplar1.jpg,0.265306,old
beetle,insect,living,thesis_stim/beetle_exemplar1.jpg,0.745455,old
mandolin,music_inst,nonliving,thesis_stim/mandolin_exemplar1.jpg,0.409091,old
lawnmower,appliances,nonliving,thesis_stim/lawnmower_exemplar1.jpg,0.5,old
rattle,toys,nonliving,thesis_stim/rattle_exemplar1.jpg,0.305556,old
globe,decor,nonliving,thesis_stim/globe_exemplar1.jpg,0.622222,old
earring,clothing,nonliving,thesis_stim/earring_exemplar1.jpg,0.535714,old
swimsuit,clothing,nonliving,thesis_stim/swimsuit_exemplar1.jpg,0.535714,old
frying pan,kitchen_items,nonliving,thesis_stim/frying_pan_exemplar1.jpg,0.574074,old
house,building,nonliving,thesis_stim/house_exemplar1.jpg,0.44898,old
hamster cage,household_items,nonliving,thesis_stim/hamster_cage_exemplar1.jpg,0.58,old
sewing machine,appliances,nonliving,thesis_stim/sewing_machine_exemplar1.jpg,0.444444,old
robin,birds,living,thesis_stim/robin_exemplar1.jpg,0.92,old
pig,mammal,living,thesis_stim/pig_exemplar1.jpg,0.666667,old
pail,tools,nonliving,thesis_stim/pail_exemplar1.jpg,0.320755,old
owl,birds,living,thesis_stim/owl_exemplar1.jpg,0.816327,old
space shuttle,vehicle,nonliving,thesis_stim/space_shuttle_exemplar1.jpg,0.557692,old
dishwasher,appliances,nonliving,thesis_stim/dishwasher_exemplar1.jpg,0.458333,old
pool,street_items,nonliving,thesis_stim/pool_exemplar1.jpg,0.413793,old
magazine rack,furniture,nonliving,thesis_stim/magazine_rack_exemplar1.jpg,0.469388,old
medal,decor,nonliving,thesis_stim/medal_exemplar1.jpg,0.466667,old
syringe,tools,nonliving,thesis_stim/syringe_exemplar1.jpg,0.6,old
bed,furniture,nonliving,thesis_stim/bed_exemplar1.jpg,0.138889,old
ski,sports,nonliving,thesis_stim/ski_exemplar1.jpg,0.4,old
firetruck,vehicle,nonliving,thesis_stim/firetruck_exemplar1.jpg,0.88,old
clamp,tools,nonliving,thesis_stim/clamp_exemplar1.jpg,0.5,old
tent,sports,nonliving,thesis_stim/tent_exemplar1.jpg,0.527778,old
vacuum,appliances,nonliving,thesis_stim/vacuum_exemplar1.jpg,0.488889,old
bulldozer,vehicle,nonliving,thesis_stim/bulldozer_exemplar1.jpg,0.413793,old
in basket,office_supplies,nonliving,thesis_stim/in_basket_exemplar1.jpg,0.533333,old
crib,furniture,nonliving,thesis_stim/crib_exemplar1.jpg,0.3,old
cricket,insect,living,thesis_stim/cricket_exemplar1.jpg,0.727273,old
muffin tin,kitchen_items,nonliving,thesis_stim/muffin_tin_exemplar1.jpg,0.48,old
tile,decor,nonliving,thesis_stim/tile_exemplar1.jpg,0.194444,old
tricycle,vehicle,nonliving,thesis_stim/tricycle_exemplar1.jpg,0.34,old
slinky,toys,nonliving,thesis_stim/slinky_exemplar1.jpg,0.457143,old
pen,office_supplies,nonliving,thesis_stim/pen_exemplar1.jpg,0.2,old
ATM,street_items,nonliving,thesis_stim/atm_exemplar1.jpg,0.577778,old
whistle,tools,nonliving,thesis_stim/whistle_exemplar1.jpg,0.697674,old
computer keyboard,electronics,nonliving,thesis_stim/computer_keyboard_exemplar1.jpg,0.457143,old
air conditioner,street_items,nonliving,thesis_stim/air_conditioner_exemplar1.jpg,0.491228,old
reindeer,mammal,living,thesis_stim/reindeer_exemplar1.jpg,0.822222,old
breadbox,kitchen_items,nonliving,thesis_stim/breadbox_exemplar1.jpg,0.422222,old
bow tie,clothing,nonliving,thesis_stim/bow_tie_exemplar1.jpg,0.448276,old
sailor hat,clothing,nonliving,thesis_stim/sailor_hat_exemplar1.jpg,0.4,old
bear,mammal,living,thesis_stim/bear_exemplar1.jpg,0.8,old
cooking pot,kitchen_items,nonliving,thesis_stim/cooking_pot_exemplar1.jpg,0.32,old
piggybank,decor,nonliving,thesis_stim/piggybank_exemplar1.jpg,0.166667,old
drum,music_inst,nonliving,thesis_stim/drum_exemplar1.jpg,0.56,old
skateboard,sports,nonliving,thesis_stim/skateboard_exemplar1.jpg,0.413793,old
kayak,sports,nonliving,thesis_stim/kayak_exemplar1.jpg,0.55102,old
scroll,decor,nonliving,thesis_stim/scroll_exemplar1.jpg,0.4,old
windmill,building,nonliving,thesis_stim/windmill_exemplar1.jpg,0.422222,old
crayon,toys,nonliving,thesis_stim/crayon_exemplar1.jpg,0.48,old
purse,clothing,nonliving,thesis_stim/purse_exemplar1.jpg,0.25,old
scorpion,insect,living,thesis_stim/scorpion_exemplar1.jpg,0.9,old
armoire,furniture,nonliving,thesis_stim/armoire_exemplar1.jpg,0.517241,old
pencil,household_items,nonliving,thesis_stim/pencil_exemplar1.jpg,0.777778,old
canteen,tools,nonliving,thesis_stim/canteen_exemplar1.jpg,0.482143,old
shovel,tools,nonliving,thesis_stim/shovel_exemplar1.jpg,0.488889,old
pick,tools,nonliving,thesis_stim/pick_exemplar1.jpg,0.586207,old
perfume,household_items,nonliving,thesis_stim/perfume_exemplar1.jpg,0.428571,old
jewlery box,decor,nonliving,thesis_stim/jewlery_box_exemplar1.jpg,0.44186,old
toaster oven,appliances,nonliving,thesis_stim/toaster_oven_exemplar1.jpg,0.5,old
